"Field Name","Field ID","Plant Date","Days from Plant to Imaging Period","Days from Current Day until Imaging event","Predicted Date of Imaing Event","Imaging Event Name"
"Truman-MN","268","2015-04-28","55","46","2015-06-22","Third Vegetative"
"Arcadia-IA","274","2015-04-29","54","46","2015-06-22","Third Vegetative"
"Sanborn-MN","262","2015-04-27","57","47","2015-06-23","Third Vegetative"
"Henderson-MN","263","2015-04-23","62","48","2015-06-24","Third Vegetative"
"Hayfield-MN","265","2015-04-28","57","48","2015-06-24","Third Vegetative"
"Menomonie-WI","221","2015-04-30","57","50","2015-06-26","Third Vegetative"
"","","","","","",""
"Rogers-TX","226","2015-03-28","51","11","2015-05-18","Fourth Vegetative"
"Danevang-TX","228","2015-04-07","44","14","2015-05-21","Fourth Vegetative"
"Jones-LA","227","2015-03-30","56","18","2015-05-25","Fourth Vegetative"
"Marianna-AR","307","2015-03-31","59","22","2015-05-29","Fourth Vegetative"
"Risco-MO","310","2015-04-11","58","32","2015-06-08","Fourth Vegetative"
"WalnutRidge-AR","311","2015-04-23","52","38","2015-06-14","Fourth Vegetative"
"WamegoIRR-KS","271","2015-04-15","64","42","2015-06-18","Fourth Vegetative"
"Jackson-TN","308","2015-05-01","48","42","2015-06-18","Fourth Vegetative"
"Springfield-IL","283","2015-04-14","66","43","2015-06-19","Fourth Vegetative"
"Kilbourne-IL","282","2015-04-15","67","45","2015-06-21","Fourth Vegetative"
"Macomb-IL","287","2015-04-16","66","45","2015-06-21","Fourth Vegetative"
"Waco-NE","251","2015-04-16","67","46","2015-06-22","Fourth Vegetative"
"Trenton-IL","285","2015-04-29","54","46","2015-06-22","Fourth Vegetative"
"CerroGordo-IL","289","2015-04-23","61","47","2015-06-23","Fourth Vegetative"
"Shipman-IL","290","2015-04-28","56","47","2015-06-23","Fourth Vegetative"
"Dorchester-NE","255","2015-04-22","63","48","2015-06-24","Fourth Vegetative"
"BowlingGreen-MO","272","2015-04-28","57","48","2015-06-24","Fourth Vegetative"
"Hiawatha-KS","273","2015-05-01","55","49","2015-06-25","Fourth Vegetative"
"Richland-IA","277","2015-04-17","69","49","2015-06-25","Fourth Vegetative"
"Stanwood-IA","281","2015-04-16","71","50","2015-06-26","Fourth Vegetative"
"Philo-IL","284","2015-04-30","57","50","2015-06-26","Fourth Vegetative"
"Holdrege-NE","219","2015-04-28","61","52","2015-06-28","Fourth Vegetative"
"SiouxCenter-IA","233","2015-04-17","72","52","2015-06-28","Fourth Vegetative"
"Aurora","256","2015-05-01","58","52","2015-06-28","Fourth Vegetative"
"NorthBend","258","2015-04-30","59","52","2015-06-28","Fourth Vegetative"
"Blencoe-IA","229","2015-04-27","63","53","2015-06-29","Fourth Vegetative"
"Albion","253","2015-04-27","63","53","2015-06-29","Fourth Vegetative"
"Pella-IA","278","2015-04-30","61","54","2015-06-30","Fourth Vegetative"
"Wakefield","249","2015-04-29","63","55","2015-07-01","Fourth Vegetative"
"Plainview","259","2015-04-29","63","55","2015-07-01","Fourth Vegetative"
"North Platte-NE","220","2015-05-01","62","56","2015-07-02","Fourth Vegetative"
"Elgin-MN","261","2015-04-17","77","57","2015-07-03","Fourth Vegetative"
"Arcadia-IA","274","2015-04-29","65","57","2015-07-03","Fourth Vegetative"
"Janesville-WI","223","2015-04-29","66","58","2015-07-04","Fourth Vegetative"
"Worthington-MN","230","2015-04-23","72","58","2015-07-04","Fourth Vegetative"
"Truman-MN","268","2015-04-28","67","58","2015-07-04","Fourth Vegetative"
"Sanborn-MN","262","2015-04-27","69","59","2015-07-05","Fourth Vegetative"
"Henderson-MN","263","2015-04-23","73","59","2015-07-05","Fourth Vegetative"
"Hayfield-MN","265","2015-04-28","69","60","2015-07-06","Fourth Vegetative"
"Menomonie-WI","221","2015-04-30","68","61","2015-07-07","Fourth Vegetative"
"","","","","","",""
"Rogers-TX","226","2015-03-28","57","17","2015-05-24","Fifth Vegetative"
"Danevang-TX","228","2015-04-07","49","19","2015-05-26","Fifth Vegetative"
"Jones-LA","227","2015-03-30","61","23","2015-05-30","Fifth Vegetative"
"Marianna-AR","307","2015-03-31","64","27","2015-06-03","Fifth Vegetative"
"Risco-MO","310","2015-04-11","63","37","2015-06-13","Fifth Vegetative"
"WalnutRidge-AR","311","2015-04-23","58","44","2015-06-20","Fifth Vegetative"
"Jackson-TN","308","2015-05-01","53","47","2015-06-23","Fifth Vegetative"
"WamegoIRR-KS","271","2015-04-15","70","48","2015-06-24","Fifth Vegetative"
"Springfield-IL","283","2015-04-14","72","49","2015-06-25","Fifth Vegetative"
"Kilbourne-IL","282","2015-04-15","73","51","2015-06-27","Fifth Vegetative"
"Trenton-IL","285","2015-04-29","59","51","2015-06-27","Fifth Vegetative"
"Macomb-IL","287","2015-04-16","73","52","2015-06-28","Fifth Vegetative"
"Shipman-IL","290","2015-04-28","61","52","2015-06-28","Fifth Vegetative"
"Waco-NE","251","2015-04-16","74","53","2015-06-29","Fifth Vegetative"
"BowlingGreen-MO","272","2015-04-28","62","53","2015-06-29","Fifth Vegetative"
"CerroGordo-IL","289","2015-04-23","67","53","2015-06-29","Fifth Vegetative"
"Dorchester-NE","255","2015-04-22","69","54","2015-06-30","Fifth Vegetative"
"Hiawatha-KS","273","2015-05-01","61","55","2015-07-01","Fifth Vegetative"
"Richland-IA","277","2015-04-17","75","55","2015-07-01","Fifth Vegetative"
"Stanwood-IA","281","2015-04-16","77","56","2015-07-02","Fifth Vegetative"
"Philo-IL","284","2015-04-30","63","56","2015-07-02","Fifth Vegetative"
"Holdrege-NE","219","2015-04-28","67","58","2015-07-04","Fifth Vegetative"
"SiouxCenter-IA","233","2015-04-17","78","58","2015-07-04","Fifth Vegetative"
"Aurora","256","2015-05-01","64","58","2015-07-04","Fifth Vegetative"
"Blencoe-IA","229","2015-04-27","69","59","2015-07-05","Fifth Vegetative"
"Albion","253","2015-04-27","69","59","2015-07-05","Fifth Vegetative"
"NorthBend","258","2015-04-30","66","59","2015-07-05","Fifth Vegetative"
"Pella-IA","278","2015-04-30","67","60","2015-07-06","Fifth Vegetative"
"Wakefield","249","2015-04-29","69","61","2015-07-07","Fifth Vegetative"
"Plainview","259","2015-04-29","69","61","2015-07-07","Fifth Vegetative"
"North Platte-NE","220","2015-05-01","69","63","2015-07-09","Fifth Vegetative"
"Elgin-MN","261","2015-04-17","83","63","2015-07-09","Fifth Vegetative"
"Arcadia-IA","274","2015-04-29","71","63","2015-07-09","Fifth Vegetative"
"Janesville-WI","223","2015-04-29","72","64","2015-07-10","Fifth Vegetative"
"Worthington-MN","230","2015-04-23","78","64","2015-07-10","Fifth Vegetative"
